種別,提供元,タイトル,リンク,発行日時,サマリ,エリア(都道府県)
,FBCテレビ福井,越前市でハギの花見ごろ　可憐な花びら人気（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200917-00000576-fbc-l18&source=rss,2020-09-17T04:55:18.000Z,越前市の万葉の里味真野苑では、秋の七草のひとつハギの花が見ごろを迎え、小さなピンクや白の花がかれんに咲いている。（９月１７日）ハギの花は、いまから７００年ほど前の万葉時代から多くの和歌に詠まれて,福井県
,FBCテレビ福井,１８日間入院もコロナで７０代の男性死亡（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200916-00000529-fbc-l18&source=rss,2020-09-16T08:35:02.000Z,新型コロナウイルスに感染して入院していた、７０代の男性が死亡した。一方、新たな感染者は８日連続で確認されず、病床のひっ迫状況は注意報レベルに下がっている。（９月１６日）県によると死亡したのは７,福井県
,FBCテレビ福井,感染対策徹底　異例の運動会シーズン迎える（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200916-00000528-fbc-l18&source=rss,2020-09-16T06:08:45.000Z,スポーツの秋を迎える中、県内の小中学校で運動会が開かれていて、子供たちはマスクや軍手などを使って感染予防対策を徹底しながら競技に臨んでいた。（９月１６日）永平寺町では、志比北小学校と志比北幼児園,福井県
,FBCテレビ福井,池田中中２自殺　民事訴訟で県町は争う姿勢（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200916-00000530-fbc-l18&source=rss,2020-09-16T06:01:02.000Z,池田中学校の男子生徒が自殺した問題で、生徒の遺族が町と県を相手取り損害賠償を求めた裁判が始まり、被告側は争う姿勢を示した。（９月１６日）この問題は、２０１７年に池田中学校の当時２年生の男子生徒が,福井県
,FBCテレビ福井,小浜市の寺で火事　住職が軽いやけど（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200916-00000267-fbc-l18&source=rss,2020-09-16T02:56:12.000Z,１５日夜、小浜市で火事があり、寺の納屋が全焼したほか土蔵と物置の一部を焼き住職が顔に軽い火傷を負った。（９月１６日）火事があったのは、小浜市生守の生守山洞源寺の納屋。警察と消防の調べによると,福井県
,FBCテレビ福井,奥越の味覚を食卓に　上庄サトイモを早掘り（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200915-00000511-fbc-l18&source=rss,2020-09-15T03:55:56.000Z,大野市上庄地区では、特産のサトイモの早掘りが始まっていて、例年並みの良い出来になっている。（９月１５日）朝はすっかり涼しくなった大野市上庄地区では、秋空が広がり特産のサトイモの収獲が始まっている,福井県
,FBCテレビ福井,甘み増したミディトマト「越のルビー」収穫（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200915-00000276-fbc-l18&source=rss,2020-09-15T02:57:40.000Z,あわら市ではフルーツ感覚で味わえるミディトマト、「越のルビー」の秋物の収穫が始まり肥料を変えたことでこれまでより甘味が増している。（９月１５日）あわら市仏徳寺の吉田農園では、朝早くから真っ赤に熟,福井県
,FBCテレビ福井,新型コロナ　ＰＣＲ検査数が７月以降で最少（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200914-00000496-fbc-l18&source=rss,2020-09-14T07:34:48.000Z,県内で新型コロナウイルスの新たな感染者は６日連続で確認されず、ＰＣＲ検査数は第２波とされる７月以降で最も少なかった。（９月１４日）県内で１３日に行われたＰＣＲ検査は合わせて１３件で、全てが陰性だ,福井県
,FBCテレビ福井,“晩酌の相手されず”逮捕の祖父が供述（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200914-00000495-fbc-l18&source=rss,2020-09-14T07:04:32.000Z,福井市内の住宅で女子高校生の孫を殺害したとして逮捕された８６歳の祖父が、「酌をついでくれなかった」という趣旨の供述をしていることが分かった。（９月１４日）この事件は、福井市黒丸城町の無職冨澤進容,福井県
,FBCテレビ福井,休耕田育ちのフナ７万匹　児童が湖に放流（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200914-00000301-fbc-l18&source=rss,2020-09-14T04:25:31.000Z,若狭町の三方五湖では、地元の児童たちが休耕田で育てたフナなど７万２０００匹を放流した。（９月１４日）若狭町にある三方五湖のひとつ菅湖で放流を体験したのは、地元の気山小学校の５年生１２人。児童,福井県
,FBCテレビ福井,地方票も菅氏が優位～総裁選・県連予備選挙（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200913-00000300-fbc-l18&source=rss,2020-09-13T09:21:11.000Z,１４日に投開票の自民党総裁選挙で、自民党県連では予備選挙の開票が行われ、票は分かれたものの菅氏が優位となっている。自民党総裁選挙の地方票は、都道府県の支部組織に３票ずつ割り当てられていて、福井県,福井県
,FBCテレビ福井,言葉の壁を越えて　外国人住民と避難所運営（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200913-00000312-fbc-l18&source=rss,2020-09-13T08:17:18.000Z,台風シーズンを前に、越前市で避難所運営の研修会が開かれ、外国人の住民も参加して新型コロナの感染予防を意識した連携などを確認していた。（９月１３日）研修会が開かれた越前市の西地区には、日系ブラジル,福井県
,FBCテレビ福井,三方五湖でゴミ拾い　約１トンのゴミ回収（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200913-00000201-fbc-l18&source=rss,2020-09-13T02:17:15.000Z,秋の行楽シーズンを前に、若狭町と美浜町の三方五湖では地元の住民らが一斉清掃を行い、環境保全の意識を高めていた。（９月１３日）この清掃活動は、三方五湖保全協議会が行ったもので、若狭町と美浜町の住民,福井県
,FBCテレビ福井,福井女子高生殺害　住宅の複数場所で血痕（福井県）(FBC 福井放送),https://headlines.yahoo.co.jp/hl?a=20200913-00000159-fbc-l18&source=rss,2020-09-13T01:44:47.000Z,福井市内の住宅で女子高校生が刃物で刺され死亡した事件で、犯行現場となった住宅の１階の台所や寝室など複数の場所で血痕が残っていたことが分かった。（９月１３日）この事件は、福井市黒丸城町の無職冨澤進,福井県
